eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed, O2
560, 24, 0, 0, 458, 0, 838, 34.27, 60.87, 0.8802483, 4095
578, 27, 0, 0, 453, 0, 795, 34.42, 61.44, 0.8362359, 4095
551, 23, 0, 0, 438, 0, 831, 34.38, 60.97, 0.8802483, 4095
540, 21, 0, 0, 448, 0, 830, 34.45, 61.37, 1.27636, 4095
433, 5, 0, 0, 458, 0, 834, 34.26, 58.94, 1.012285, 4095
448, 7, 0, 0, 464, 0, 847, 34.20, 58.26, 1.056298, 4095
519, 18, 0, 0, 465, 0, 845, 34.19, 60.58, 0.0, 4095
567, 25, 0, 0, 464, 0, 847, 34.18, 62.11, 0.0, 4095
611, 32, 0, 0, 462, 0, 816, 34.16, 62.74, 0.7922234, 4095
505, 15, 0, 0, 461, 0, 833, 34.18, 61.26, 0.9242607, 4095
473, 11, 0, 0, 464, 0, 831, 34.26, 60.74, 0.8802483, 4095
501, 15, 0, 0, 458, 0, 809, 34.35, 60.66, 0.9682731, 4095
566, 25, 0, 0, 470, 0, 814, 34.31, 61.36, 1.188335, 4095
612, 32, 0, 0, 458, 0, 846, 34.47, 61.15, 0.0, 4095
556, 23, 0, 0, 464, 0, 837, 34.47, 60.98, 0.0, 4095
566, 25, 0, 0, 449, 0, 813, 34.53, 60.81, 0.0, 4095
671, 41, 0, 0, 454, 0, 839, 34.53, 60.77, 0.0, 4095
633, 35, 0, 0, 438, 0, 810, 34.51, 61.24, 1.144323, 4095
497, 14, 0, 0, 453, 0, 838, 34.49, 59.30, 0.9242607, 4095
561, 24, 0, 0, 451, 0, 817, 34.54, 59.88, 0.7041986, 4095
580, 27, 0, 0, 463, 0, 842, 34.61, 60.30, 0.8362359, 4095
614, 32, 0, 0, 461, 0, 829, 34.71, 60.43, 10.07884, 4095
631, 35, 0, 0, 463, 0, 861, 34.66, 60.61, 35.60604, 4095
891, 74, 0, 0, 464, 0, 832, 34.50, 60.49, 0.9242607, 4095
882, 73, 0, 0, 472, 0, 848, 34.57, 61.22, 0.5281489, 4095
641, 36, 0, 0, 453, 0, 836, 34.73, 61.70, 0.9242607, 4095
674, 41, 0, 0, 454, 0, 870, 34.57, 60.58, 1.27636, 4095
652, 38, 0, 0, 451, 0, 848, 34.67, 61.9, 0.7922234, 4095
674, 41, 0, 0, 443, 0, 825, 34.80, 59.94, 2.112596, 4095
561, 24, 0, 0, 465, 0, 822, 34.77, 57.79, 19.18941, 4095
580, 27, 0, 0, 469, 0, 842, 34.68, 58.94, 40.79951, 4095
715, 47, 0, 0, 477, 0, 835, 34.77, 60.22, 30.80869, 4095
834, 66, 0, 0, 473, 0, 815, 34.67, 59.32, 5.457539, 4095
907, 77, 0, 0, 470, 0, 867, 34.77, 60.11, 0.0, 4095
1491, 166, 0, 0, 471, 0, 883, 34.76, 59.17, 0.0, 4095
1349, 144, 0, 0, 493, 0, 885, 34.53, 61.6, 0.0, 4095
1543, 201, 0, 0, 496, 0, 863, 34.50, 60.72, 0.0, 4095
1650, 289, 0, 0, 480, 0, 871, 34.54, 61.26, 0.0, 4095
1491, 166, 0, 0, 496, 0, 929, 34.57, 61.13, 0.0, 4095
844, 67, 0, 0, 519, 0, 874, 34.50, 60.49, 0.0, 4095
763, 55, 0, 0, 493, 0, 866, 34.51, 60.63, 0.0, 4095
638, 36, 0, 0, 474, 0, 848, 34.53, 60.87, 0.0, 4095
