eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed
1009, 92, 0, 768, 0, 131, 162, 46.6, 31.56, 3.432968
1274, 133, 0, 755, 0, 129, 172, 46.30, 31.58, 3.212906
1307, 138, 0, 721, 0, 147, 184, 46.26, 31.51, 3.036856
1062, 100, 0, 750, 0, 151, 208, 46.9, 31.26, 3.565006
578, 27, 0, 757, 0, 144, 193, 46.7, 31.36, 3.124882
405, 0, 0, 800, 0, 134, 177, 45.80, 31.58, 3.609018
409, 1, 0, 816, 0, 128, 174, 45.79, 31.76, 2.948832
645, 37, 0, 784, 0, 120, 174, 46.1, 31.82, 4.093154
629, 34, 0, 766, 0, 119, 176, 46.0, 32.76, 2.55272
697, 45, 0, 771, 0, 122, 155, 45.79, 31.94, 2.55272
885, 73, 0, 785, 0, 129, 208, 45.79, 31.79, 2.816794
798, 60, 0, 769, 0, 130, 182, 45.82, 32.19, 3.476981
543, 21, 0, 778, 0, 125, 170, 45.80, 31.83, 2.640745
591, 29, 0, 783, 0, 121, 166, 45.90, 31.97, 3.168894
737, 51, 0, 748, 0, 115, 167, 46.13, 31.87, 3.741055
1074, 102, 0, 740, 0, 123, 166, 46.9, 31.93, 3.741055
793, 59, 0, 737, 0, 127, 167, 46.18, 31.75, 3.917105
1586, 233, 0, 733, 0, 141, 173, 46.26, 32.33, 3.873092
827, 65, 0, 752, 0, 107, 170, 46.6, 31.73, 3.873092
543, 21, 0, 771, 0, 135, 162, 46.1, 31.82, 2.640745
491, 13, 0, 768, 0, 129, 159, 45.96, 32.15, 3.565006
505, 15, 0, 763, 0, 131, 163, 46.6, 32.42, 3.388956
501, 15, 0, 751, 0, 118, 156, 46.4, 32.0, 3.212906
540, 21, 0, 746, 0, 112, 151, 46.16, 31.88, 5.10544
951, 83, 0, 747, 0, 114, 155, 46.18, 32.3, 0.0
1231, 126, 0, 753, 0, 142, 178, 45.96, 32.28, 5.413527
1077, 103, 0, 786, 0, 141, 176, 45.55, 32.89, 4.005129
1065, 101, 0, 815, 0, 118, 177, 45.59, 33.4, 3.124882
990, 89, 0, 786, 0, 144, 176, 45.65, 32.53, 0.0
692, 44, 0, 766, 0, 134, 176, 45.69, 32.90, 2.992844
1274, 133, 0, 750, 0, 140, 176, 45.68, 32.63, 3.565006
692, 44, 0, 727, 0, 126, 171, 45.84, 32.75, 2.72877
487, 13, 0, 768, 0, 125, 166, 45.53, 32.37, 3.961117
907, 77, 0, 780, 0, 134, 176, 45.75, 33.1, 3.388956
588, 28, 0, 800, 0, 137, 182, 45.55, 33.17, 3.432968
1674, 313, 0, 816, 0, 127, 193, 45.0, 32.85, 3.520993
954, 84, 0, 866, 0, 139, 193, 44.80, 33.34, 3.124882
1150, 114, 0, 896, 0, 144, 233, 44.47, 34.16, 3.476981
880, 73, 0, 890, 0, 131, 221, 44.52, 34.40, 3.212906
634, 35, 0, 897, 0, 126, 176, 44.33, 34.34, 3.741055
737, 51, 0, 876, 0, 138, 194, 44.52, 35.58, 2.72877
569, 25, 0, 849, 0, 128, 175, 44.43, 34.62, 3.432968
1201, 122, 0, 834, 0, 141, 176, 44.36, 34.25, 2.816794
780, 57, 0, 848, 0, 128, 181, 44.47, 34.3, 3.036856
480, 12, 0, 834, 0, 122, 144, 44.40, 33.56, 3.388956
1522, 186, 0, 813, 0, 133, 176, 44.35, 33.82, 3.520993
524, 18, 0, 813, 0, 119, 148, 44.39, 33.47, 2.55272
588, 28, 0, 811, 0, 129, 198, 44.45, 33.50, 3.388956
